0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
4.404722934170639,9.718484711553767,75.89981468738276,0.2842608296998616,1.1677562840917772,Bentley,Bentayga,Other,SUV,Petrol,Automatic Transmission,Unknown,500 - 599 HP,Purple,Unknown,Yes,Dubai,Dealer,995000
,,76.20273098772444,0.5119481654729277,0.19221770054517143,BMW,6-Series,650i,Coupe,Petrol,Automatic Transmission,,,Black,Beige,Yes,Dubai,Dealer,67500
4.717705636326674,9.735947262969917,,0.43277014784026646,1.2210420489502583,Mercedes-Benz,S-Class,S 63 AMG,Sedan,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Black,White,Does not apply,Dubai,Dealer,285000
4.601022382715129,9.762571153990256,53.754743060509675,0.4577360875658624,1.1159169999909337,Land Rover,Range Rover,Vogue SE,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,White,Unknown,Yes,Dubai,Owner,335000
4.258275583881323,9.71173493071044,0.735171698302675,0.35776689027747005,1.3702530005012001,Mercedes-Benz,GLE-Class,GLE 53,Coupe,Petrol,Automatic Transmission,,400 - 499 HP,Silver,Beige,No,Dubai,Dealer,469999
4.876325255075537,9.675574543273907,55.02110512187606,0.32207064532670693,0.8053707328317317,Bentley,Continental GT,Other,Coupe,Petrol,Automatic Transmission,,600 - 699 HP,Red,White,Yes,Dubai,Dealer,359000
4.805926732493202,9.71461558972184,-70.35285638195776,0.41053268501090984,0.9456602760047174,Honda,City,Other,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Black,Beige,No,Dubai,Dealer,47900
,9.7407962585713,-27.81202264933172,0.8723825693830837,,Hyundai,Kona,Comfort,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Black,No,Dubai,Owner,42000
4.682194538992327,9.74729220071712,-41.87321618570501,0.40824501386367246,1.0617542047772481,Jeep,Compass,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Grey,Black,Yes,Dubai,Dealer,81999
4.504102358454479,9.663861449160374,-49.441053366357885,0.3811066913873235,,Ford,Mustang,Ecoboost,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Black,No,Dubai,Owner,97000
5.425155064495103,9.751752422674334,-58.80419173915313,0.9642656825235374,0.8153639220454993,Nissan,X-Trail,Other,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,Black,Beige,No,Abu Dhabi,Dealer,18000
4.420358114752203,9.733979868004667,,0.39212375857671883,2.0218159009999925,Jeep,Grand Wagoneer,Other,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,500 - 599 HP,Black,Tan,Yes,Dubai,Dealer,379999
5.305402526885821,,,,1.3845506869632722,Cadillac,CTS/Catera,Other,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Black,Beige,No,Dubai,Dealer,35000
4.62041588125743,9.710067311960401,-20.79754533580028,0.4218441499765881,0.8330311327509144,Renault,Duster,SE Plus,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Silver,Beige,Does not apply,Dubai,Owner,46500
5.054364771431361,9.756642469233181,42.18706211824726,0.5708566821189573,0.8448917348309691,Land Rover,Range Rover,Supercharged,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Unknown,Yes,Dubai,Dealer,113000
4.219775451458825,9.718252324191036,-75.17743696841248,0.4143019180771414,,Mercedes-Benz,GLC,GLC 200,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,Black,Unknown,Yes,Dubai,Dealer,289000
4.678158991683465,9.713827326327193,-47.62892262525993,0.4413600768554115,0.8550496295033488,Nissan,Urvan,Other,Van,Petrol,Manual Transmission,2000 - 2499 cc,200 - 299 HP,White,Black,No,Dubai,Owner,61000
4.634246837098794,9.73467190463137,-79.7159770780903,0.4854635482981255,1.2340583970298984,Mitsubishi,L200,Double Cab GLX,Pick Up Truck,Petrol,Manual Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Black,No,Abu Dhabi,Dealer,52000
4.997778166867337,9.661091645211656,-67.67515553736018,0.7062077556736923,0.6768437553998427,Lexus,RC,Other,Coupe,Petrol,Automatic Transmission,,400 - 499 HP,Black,Brown,No,Abu Dhabi,Owner,55000
4.680438269597737,9.72965380381618,20.071805911204162,0.2961088642816488,1.0703878297929186,Lexus,ES-Series,350 F SPORT,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,White,Unknown,Yes,Dubai,Owner,205000
5.183738145840774,9.718891350180213,78.99291574251228,0.560623236586465,1.0915335173056315,BMW,7-Series,750Li xDrive,Sedan,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Grey,Beige,No,Dubai,Dealer,125000
4.54156946317855,,-163.43647429850543,0.42283025272727914,0.8629521268612186,Rabdan,One,Other,SUV,Electric,Automatic Transmission,Unknown,Unknown,White,White,Yes,Dubai,Dealer,192000
4.338644845017328,9.71524934247018,36.6898407913691,0.3145057922613623,2.8817230572990504,Land Rover,Defender,Other,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,400 - 499 HP,White,Tan,Does not apply,Dubai,Dealer,400000
5.141534928036703,9.73974125502143,39.39337312268191,0.7255724002978374,3.0382511797935328,Nissan,Armada,LE,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Grey,Black,No,Ajman,Dealer,36900
